"","X1","X2","X3","X4","X5","X6"
"6613",2790589,"Mousty","Mousty",NA,50.66111,4.56413
"6614",2790590,"Moustier","Moustier","Moustier",50.65599,3.61966
"6615",2790591,"Moustier-sur-Sambre","Moustier-sur-Sambre","Jemeppe-sur-Sambre (Moustier-sur-Sambre),Moustier",50.46668,4.69614
"6616",2790594,"Mousny","Mousny",NA,50.10358,5.61124
"6617",2790595,"Mouscron","Mouscron","MWW,Moeschroen,Moeschroên,Moeskroen,Moucron,Mouscron,Mukronas,Musera,Muskron,Muskrono,museukeulong,musukuron,mwzkrwn,<U+041C><U+0443><U+0441><U+043A><U+0440><U+043E><U+043D>,<U+0645><U+0648><U+0632><U+06A9><U+0631><U+0648><U+0646>,<U+30E0><U+30B9><U+30AF><U+30ED><U+30F3>,<U+BB34><U+C2A4><U+D06C><U+B871>",50.74497,3.20639
"6618",2790596,"Arrondissement de Mouscron","Arrondissement de Mouscron","Moeskroen",50.73333,3.2
"6619",2790597,"Mourcourt","Mourcourt","Mourcourt",50.65322,3.44468
"6620",2790599,"Mouplan","Mouplan","Mouplan,Mouplon",50.71667,3.85
"6621",2790600,"Ruisseau des Moulins","Ruisseau des Moulins",NA,50.65,5.61667
"6622",2790601,"Bois de Moulins","Bois de Moulins",NA,50.31231,4.8666
"6623",2790602,"Moulin Manteau","Moulin Manteau",NA,49.97023,4.5422
"6624",2790603,"Moulinel","Moulinel",NA,50.61981,3.26831
"6625",2790604,"Moulin du Ruy","Moulin du Ruy","Moulin du Roy,Moulin du Ruy,Moulin-du-Puy",50.42345,5.88481
"6626",2790605,"Moulin de Stave","Moulin de Stave",NA,50.28333,4.66667
"6627",2790606,"Moulin de la Fosse","Moulin de la Fosse",NA,50.26667,5.63333
"6628",2790607,"Moulin-à-Vent","Moulin-a-Vent",NA,50.6727,5.45388
"6629",2790608,"Moulin à Vent","Moulin a Vent",NA,50.47631,4.87996
"6630",2790609,"Moulin à Papier","Moulin a Papier",NA,50.49863,3.77406
"6631",2790610,"Ruisseau du Moulin","Ruisseau du Moulin",NA,50.91667,3.65
"6632",2790612,"Ruisseau du Moulin","Ruisseau du Moulin",NA,50.33333,4.23333
"6633",2790613,"Ruisseau du Moulin","Ruisseau du Moulin",NA,50.3,4.4
"6634",2790614,"Ruisseau du Moulin","Ruisseau du Moulin","Ruisseau du Moulin,Ruisseau du Rux du Moulin",49.88333,4.95
"6635",2790615,"Île du Moulin","Ile du Moulin",NA,50.56667,5.6
"6636",2790616,"Ferme du Moulin","Ferme du Moulin",NA,50.68333,4.01667
"6637",2790617,"Étang du Moulin","Etang du Moulin",NA,50.38333,4.78333
"6638",2790618,"Étang du Moulin","Etang du Moulin",NA,50.22174,5.20334
"6639",2790619,"Étang du Moulin","Etang du Moulin",NA,50.26667,5.85
"6640",2790620,"Étang du Moulin","Etang du Moulin",NA,50.13815,4.2606
"6641",2790621,"Moulin","Moulin",NA,50.71667,3.56667
"6642",2790622,"Moulin","Moulin",NA,50.45,3.73333
"6643",2790623,"Moulin","Moulin",NA,50.7,3.45
"6644",2790624,"Moulin","Moulin",NA,50.65,3.46667
"6645",2790625,"Moulin","Moulin",NA,50.65045,3.45152
"6646",2790626,"Moulin","Moulin",NA,50.48438,5.45911
"6647",2790627,"Mouligneau","Mouligneau",NA,50.56198,4.01954
"6648",2790628,"Mouligneau","Mouligneau",NA,50.41667,4.3
"6649",2790629,"Moulignat","Moulignat",NA,50.25628,4.38252
"6650",2790630,"Moulbaix","Moulbaix",NA,50.60084,3.71621
"6651",2790632,"Moulard","Moulard",NA,50.16854,4.163
"6652",2790633,"Moelingen","Moelingen","Fourons (Mouland),Moelingen,Mouland,Voeren (Moelingen)",50.75693,5.71375
"6653",2790635,"Mouffrin","Mouffrin",NA,50.32657,5.0448
"6654",2790636,"Ferme du Mouchon","Ferme du Mouchon",NA,50.63333,4.1
"6655",2790637,"Moubeke","Moubeke",NA,51.15,3.16667
"6656",2790638,"Ferme des Mottes","Ferme des Mottes",NA,50.68333,3.63333
"6657",2790640,"Ferme de la Motte","Ferme de la Motte",NA,50.31094,5.07543
"6658",2790641,"Château de la Motte","Chateau de la Motte","Chateau de la Motte,Château de la Motte,La Motte",50.88333,4.21667
"6659",2790642,"Bois de la Motte","Bois de la Motte",NA,50.64048,3.63664
"6660",2790643,"Motte","Motte",NA,50.95,3.73333
"6661",2790644,"Motte","Motte",NA,50.83333,3.53333
"6662",2790645,"Motte","Motte",NA,50.75826,3.749
"6663",2790646,"Motte","Motte",NA,50.46345,4.39427
"6664",2790647,"Motte","Motte",NA,51.13333,3.65
"6665",2790648,"Motmolen","Motmolen",NA,50.84368,5.49758
"6666",2790649,"Motje","Motje",NA,51.13333,3.9
"6667",2790650,"Motbroek","Motbroek","Motbroek,Mothoek",50.91869,4.87647
"6668",2790651,"Mot","Mot","De Mot,Mot",50.95756,4.43882
"6669",2790652,"Mosvenne","Mosvenne",NA,51,4.66667
"6670",2790653,"Ferme Mostombe","Ferme Mostombe",NA,50.55,5.06667
"6671",2790654,"Mosthuis","Mosthuis",NA,51.16667,5.23333
"6672",2790655,"Mostenloop","Mostenloop",NA,51.25,5
"6673",2790656,"Mostenbeek","Mostenbeek",NA,51.03333,4.18333
"6674",2790657,"Mostdonk","Mostdonk","Mostdonck,Mostdonk",51.12252,4.92476
"6675",2790658,"Mostbeek","Mostbeek",NA,51.06667,3.85
"6676",2790659,"Mostaardpothoeve","Mostaardpothoeve","Mostaardpothoef,Mostaardpothoeve",51.11667,4.6
"6677",2790660,"Mostaardpot","Mostaardpot","Mostaardhoeve,Mostaardpot",51.08333,4.48333
"6678",2790661,"Mostaardhaaghoeve","Mostaardhaaghoeve","Mostaardhaag-hoef,Mostaardhaaghoeve,Mostaardhoeve",51.23333,4.76667
"6679",2790662,"Most","Most",NA,50.94108,3.07714
"6680",2790663,"Mossiat","Mossiat",NA,50.33632,4.82758
"6681",2790664,"Mossiat","Mossiat",NA,50.09493,5.03587
"6682",2790665,"Mosseveldstraat","Mosseveldstraat",NA,51.05201,3.96388
"6683",2790666,"Mosselbank","Mosselbank",NA,51.21796,4.20034
