"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1543","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:39:57,FALSE,NA,"982327063872004096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cxdrxdxnhx",65,TRUE,FALSE,NA,NA
"1544",". #rsca scoort verdacht snel in #chaand 
<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>
wil #bayat na plotse vertrek van #hermanvanholsbeeck aldaar zaakjes blijven doen <ed><U+00A0><U+00BE><ed><U+00B4><U+0090>",FALSE,0,NA,2018-04-06 18:39:48,FALSE,NA,"982327027473829889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeWaaslandwolf",0,FALSE,FALSE,NA,NA
"1545","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:38:20,FALSE,NA,"982326657875771392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nerigohan",65,TRUE,FALSE,NA,NA
"1546","La @ProLeagueBE ne peut-elle pas obliger @SportCharleroi à jouer avec des short et chaussettes blanches afin qu'… https://t.co/WCTBex0BCy",FALSE,0,NA,2018-04-06 18:38:01,TRUE,NA,"982326578410639360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FrereAmelie",0,FALSE,FALSE,NA,NA
"1547","8 titels in 15 jaar, zo slecht nog niet #merciherman #chaand",FALSE,0,NA,2018-04-06 18:37:48,FALSE,NA,"982326521015631872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Milan_vdc",0,FALSE,FALSE,NA,NA
"1548","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:37:46,FALSE,NA,"982326514082615296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","___DIMI____",65,TRUE,FALSE,NA,NA
"1549","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:37:16,FALSE,NA,"982326389201240065",NA,"<a href=""https://www.wakamesoba98.net/sobacha/"" rel=""nofollow"">MateCha</a>","ff_akssphr",65,TRUE,FALSE,NA,NA
"1550","#CHAAND twee “echte”
voetballers op het veld: Markovic en Morioka en .... hopla! #COYM 
@CouckeMarc",FALSE,2,NA,2018-04-06 18:37:06,FALSE,NA,"982326345035321345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LudwigBollaerts",0,FALSE,FALSE,NA,NA
"1551","Markovic met de assist naar Morioka. Een 100% Van Holsbeeck-goal! #CHAAND",FALSE,2,NA,2018-04-06 18:36:56,FALSE,NA,"982326303339794433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","claudio_arzinho",0,FALSE,FALSE,NA,NA
"1552","mooie goal van de winterkoopjes van Herman  #chaand",FALSE,0,NA,2018-04-06 18:36:55,FALSE,NA,"982326302056337409",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bartdobbelaere",0,FALSE,FALSE,NA,NA
"1553","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:36:38,FALSE,NA,"982326228337258496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robinbeullens",65,TRUE,FALSE,NA,NA
"1554","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:36:36,FALSE,NA,"982326219558604800",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Place_Jourdan",65,TRUE,FALSE,NA,NA
"1555","Volgende teambuilding @SportCharleroi in Pairi Daiza? Veel slapper kan je niet verdedigen! #chaand",FALSE,1,NA,2018-04-06 18:36:31,FALSE,NA,"982326201984438274",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndiCrombez",0,FALSE,FALSE,NA,NA
"1556","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:36:18,FALSE,NA,"982326144232861696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ARDIJAHIRO_420",65,TRUE,FALSE,NA,NA
